date,account_id,payee,amount_eur,currency,category,tags,note,external_id,source
2025-09-02,Kreditkarte_Visa,McDonalds,-0.00,EUR,Verpflegung,essen,Schnelles Essen,,csv

2025-09-10,Kreditkarte,DM,-5.95,EUR,Verpflegung,Hygiene,Pflege,,csv
2025-09-10,Kreditkarte,Freseur,-17.00,EUR,Verpflegung,Hygiene,Körperpflege,,csv
2025-09-12,Kreditkarte,DM,-4.78,EUR,Verpflegung,Hygiene,Bände,,csv
2025-09-12,Kreditkarte,DM,-4.99,EUR,Verpflegung,Hygiene,Zahnpaste,,csv
2025-09-16,Kreditkarte,Hbf,-1.50,EUR,Verpflegung,Toiletten Nützung,Toilette,,csv
2025-09-26,Kreditkarte,DM,-4.00,EUR,Verpflegung,Hygiene,Pflege,,csv
